"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1302009","Itapiranga (AM)","100.00","41.81","5.50","13.65","22.66","17.33","9.87","0.23","30.76","100.00","50.72","5.65","10.01","35.06","5.74","13.59","0.96","28.99"
"1302108","Japurá (AM)","100.00","24.36","3.11","13.31","7.94","22.32","10.06","0.18","43.08","100.00","50.27","2.81","2.11","45.34","1.18","12.43","0.28","35.84"
"1302207","Juruá (AM)","100.00","33.89","2.04","21.83","10.03","23.35","12.51","0.20","30.05","100.00","32.34","1.48","0.75","30.11","1.52","25.56","0.09","40.49"
"1302306","Jutaí (AM)","100.00","30.87","2.23","14.11","14.53","15.02","29.06","0.79","24.27","100.00","25.87","1.04","0.55","24.28","6.40","35.04","-","32.69"
"1302405","Lábrea (AM)","100.00","30.40","5.92","7.80","16.69","15.74","24.16","0.44","29.26","100.00","40.24","9.02","2.53","28.70","2.00","25.82","0.74","31.21"
"1302504","Manacapuru (AM)","100.00","40.49","7.18","6.72","26.58","13.84","5.70","0.73","39.25","100.00","46.23","13.74","4.65","27.84","4.85","8.42","0.87","39.63"
"1302553","Manaquiri (AM)","100.00","30.71","2.65","9.44","18.61","12.10","17.23","0.31","39.66","100.00","24.16","4.19","4.60","15.37","3.74","22.66","0.27","49.17"
"1302603","Manaus (AM)","100.00","72.53","37.50","9.82","25.21","1.22","0.41","1.92","23.92","100.00","76.20","49.67","6.86","19.67","1.62","0.55","1.28","20.35"
"1302702","Manicoré (AM)","100.00","28.64","9.59","4.07","14.97","15.65","17.64","0.28","37.79","100.00","34.98","6.04","4.70","24.24","5.40","14.99","0.54","44.09"
"1302801","Maraã (AM)","100.00","16.60","4.00","4.53","8.07","17.11","16.00","0.34","49.94","100.00","32.30","3.99","4.82","23.49","1.74","42.50","0.22","23.25"
